Designator,Mid X,Mid Y,Layer,Rotation,Footprint
IC4,17.46mm,10.79mm,90,FT232RL,SSOP-28_5.3x10.2x0.65P
U1,37.15mm,8.26mm,0,ATMEGA328P-AU,TQFP-32_7.0x7.0x0.8P
LED1,2.54mm,96.52mm,0,,LED_0805
LED10,28.26mm,96.52mm,0,,LED_0805
LED100,11.11mm,83.19mm,0,,LED_0805
LED101,13.97mm,83.19mm,0,,LED_0805
LED102,16.83mm,83.19mm,0,,LED_0805
LED103,19.69mm,83.19mm,0,,LED_0805
LED104,22.54mm,83.19mm,0,,LED_0805
LED105,25.4mm,83.19mm,0,,LED_0805
LED106,28.26mm,83.19mm,0,,LED_0805
LED107,31.12mm,83.19mm,0,,LED_0805
LED108,33.97mm,83.19mm,0,,LED_0805
LED109,36.83mm,83.19mm,0,,LED_0805
LED11,31.12mm,96.52mm,0,,LED_0805
LED110,39.69mm,83.19mm,0,,LED_0805
LED111,42.55mm,83.19mm,0,,LED_0805
LED112,45.4mm,83.19mm,0,,LED_0805
LED113,48.26mm,83.19mm,0,,LED_0805
LED114,51.12mm,83.19mm,0,,LED_0805
LED115,53.98mm,83.19mm,0,,LED_0805
LED116,56.83mm,83.19mm,0,,LED_0805
LED117,59.69mm,83.19mm,0,,LED_0805
LED118,62.55mm,83.19mm,0,,LED_0805
LED119,65.41mm,83.19mm,0,,LED_0805
LED12,33.97mm,96.52mm,0,,LED_0805
LED120,68.26mm,83.19mm,0,,LED_0805
LED121,71.12mm,83.19mm,0,,LED_0805
LED122,73.98mm,83.19mm,0,,LED_0805
LED123,76.84mm,83.19mm,0,,LED_0805
LED124,79.69mm,83.19mm,0,,LED_0805
LED125,82.55mm,83.19mm,0,,LED_0805
LED126,85.41mm,83.19mm,0,,LED_0805
LED127,88.27mm,83.19mm,0,,LED_0805
LED128,91.12mm,83.19mm,0,,LED_0805
LED129,2.54mm,78.74mm,0,,LED_0805
LED13,36.83mm,96.52mm,0,,LED_0805
LED130,5.4mm,78.74mm,0,,LED_0805
LED131,8.26mm,78.74mm,0,,LED_0805
LED132,11.11mm,78.74mm,0,,LED_0805
LED133,13.97mm,78.74mm,0,,LED_0805
LED134,16.83mm,78.74mm,0,,LED_0805
LED135,19.69mm,78.74mm,0,,LED_0805
LED136,22.54mm,78.74mm,0,,LED_0805
LED137,25.4mm,78.74mm,0,,LED_0805
LED138,28.26mm,78.74mm,0,,LED_0805
LED139,31.12mm,78.74mm,0,,LED_0805
LED14,39.69mm,96.52mm,0,,LED_0805
LED140,33.97mm,78.74mm,0,,LED_0805
LED141,36.83mm,78.74mm,0,,LED_0805
LED142,39.69mm,78.74mm,0,,LED_0805
LED143,42.55mm,78.74mm,0,,LED_0805
LED144,45.4mm,78.74mm,0,,LED_0805
LED145,48.26mm,78.74mm,0,,LED_0805
LED146,51.12mm,78.74mm,0,,LED_0805
LED147,53.98mm,78.74mm,0,,LED_0805
LED148,56.83mm,78.74mm,0,,LED_0805
LED149,59.69mm,78.74mm,0,,LED_0805
LED15,42.55mm,96.52mm,0,,LED_0805
LED150,62.55mm,78.74mm,0,,LED_0805
LED151,65.41mm,78.74mm,0,,LED_0805
LED152,68.26mm,78.74mm,0,,LED_0805
LED153,71.12mm,78.74mm,0,,LED_0805
LED154,73.98mm,78.74mm,0,,LED_0805
LED155,76.84mm,78.74mm,0,,LED_0805
LED156,79.69mm,78.74mm,0,,LED_0805
LED157,82.55mm,78.74mm,0,,LED_0805
LED158,85.41mm,78.74mm,0,,LED_0805
LED159,88.27mm,78.74mm,0,,LED_0805
LED16,45.4mm,96.52mm,0,,LED_0805
LED160,91.12mm,78.74mm,0,,LED_0805
LED161,2.54mm,74.3mm,0,,LED_0805
LED162,5.4mm,74.3mm,0,,LED_0805
LED163,8.26mm,74.3mm,0,,LED_0805
LED164,11.11mm,74.3mm,0,,LED_0805
LED165,13.97mm,74.3mm,0,,LED_0805
LED166,16.83mm,74.3mm,0,,LED_0805
LED167,19.69mm,74.3mm,0,,LED_0805
LED168,22.54mm,74.3mm,0,,LED_0805
LED169,25.4mm,74.3mm,0,,LED_0805
LED17,48.26mm,96.52mm,0,,LED_0805
LED170,28.26mm,74.3mm,0,,LED_0805
LED171,31.12mm,74.3mm,0,,LED_0805
LED172,33.97mm,74.3mm,0,,LED_0805
LED173,36.83mm,74.3mm,0,,LED_0805
LED174,39.69mm,74.3mm,0,,LED_0805
LED175,42.55mm,74.3mm,0,,LED_0805
LED176,45.4mm,74.3mm,0,,LED_0805
LED177,48.26mm,74.3mm,0,,LED_0805
LED178,51.12mm,74.3mm,0,,LED_0805
LED179,53.98mm,74.3mm,0,,LED_0805
LED18,51.12mm,96.52mm,0,,LED_0805
LED180,56.83mm,74.3mm,0,,LED_0805
LED181,59.69mm,74.3mm,0,,LED_0805
LED182,62.55mm,74.3mm,0,,LED_0805
LED183,65.41mm,74.3mm,0,,LED_0805
LED184,68.26mm,74.3mm,0,,LED_0805
LED185,71.12mm,74.3mm,0,,LED_0805
LED186,73.98mm,74.3mm,0,,LED_0805
LED187,76.84mm,74.3mm,0,,LED_0805
LED188,79.69mm,74.3mm,0,,LED_0805
LED189,82.55mm,74.3mm,0,,LED_0805
LED19,53.98mm,96.52mm,0,,LED_0805
LED190,85.41mm,74.3mm,0,,LED_0805
LED191,88.27mm,74.3mm,0,,LED_0805
LED192,91.12mm,74.3mm,0,,LED_0805
LED193,2.54mm,69.85mm,0,,LED_0805
LED194,5.4mm,69.85mm,0,,LED_0805
LED195,8.26mm,69.85mm,0,,LED_0805
LED196,11.11mm,69.85mm,0,,LED_0805
LED197,13.97mm,69.85mm,0,,LED_0805
LED198,16.83mm,69.85mm,0,,LED_0805
LED199,19.69mm,69.85mm,0,,LED_0805
LED2,5.4mm,96.52mm,0,,LED_0805
LED20,56.83mm,96.52mm,0,,LED_0805
LED200,22.54mm,69.85mm,0,,LED_0805
LED201,25.4mm,69.85mm,0,,LED_0805
LED202,28.26mm,69.85mm,0,,LED_0805
LED203,31.12mm,69.85mm,0,,LED_0805
LED204,33.97mm,69.85mm,0,,LED_0805
LED205,36.83mm,69.85mm,0,,LED_0805
LED206,39.69mm,69.85mm,0,,LED_0805
LED207,42.55mm,69.85mm,0,,LED_0805
LED208,45.4mm,69.85mm,0,,LED_0805
LED209,48.26mm,69.85mm,0,,LED_0805
LED21,59.69mm,96.52mm,0,,LED_0805
LED210,51.12mm,69.85mm,0,,LED_0805
LED211,53.98mm,69.85mm,0,,LED_0805
LED212,56.83mm,69.85mm,0,,LED_0805
LED213,59.69mm,69.85mm,0,,LED_0805
LED214,62.55mm,69.85mm,0,,LED_0805
LED215,65.41mm,69.85mm,0,,LED_0805
LED216,68.26mm,69.85mm,0,,LED_0805
LED217,71.12mm,69.85mm,0,,LED_0805
LED218,73.98mm,69.85mm,0,,LED_0805
LED219,76.84mm,69.85mm,0,,LED_0805
LED22,62.55mm,96.52mm,0,,LED_0805
LED220,79.69mm,69.85mm,0,,LED_0805
LED221,82.55mm,69.85mm,0,,LED_0805
LED222,85.41mm,69.85mm,0,,LED_0805
LED223,88.27mm,69.85mm,0,,LED_0805
LED224,91.12mm,69.85mm,0,,LED_0805
LED225,2.54mm,65.41mm,0,,LED_0805
LED226,5.4mm,65.41mm,0,,LED_0805
LED227,8.26mm,65.41mm,0,,LED_0805
LED228,11.11mm,65.41mm,0,,LED_0805
LED229,13.97mm,65.41mm,0,,LED_0805
LED23,65.41mm,96.52mm,0,,LED_0805
LED230,16.83mm,65.41mm,0,,LED_0805
LED231,19.69mm,65.41mm,0,,LED_0805
LED232,22.54mm,65.41mm,0,,LED_0805
LED233,25.4mm,65.41mm,0,,LED_0805
LED234,28.26mm,65.41mm,0,,LED_0805
LED235,31.12mm,65.41mm,0,,LED_0805
LED236,33.97mm,65.41mm,0,,LED_0805
LED237,36.83mm,65.41mm,0,,LED_0805
LED238,39.69mm,65.41mm,0,,LED_0805
LED239,42.55mm,65.41mm,0,,LED_0805
LED24,68.26mm,96.52mm,0,,LED_0805
LED240,45.4mm,65.41mm,0,,LED_0805
LED241,48.26mm,65.41mm,0,,LED_0805
LED242,51.12mm,65.41mm,0,,LED_0805
LED243,53.98mm,65.41mm,0,,LED_0805
LED244,56.83mm,65.41mm,0,,LED_0805
LED245,59.69mm,65.41mm,0,,LED_0805
LED246,62.55mm,65.41mm,0,,LED_0805
LED247,65.41mm,65.41mm,0,,LED_0805
LED248,68.26mm,65.41mm,0,,LED_0805
LED249,71.12mm,65.41mm,0,,LED_0805
LED25,71.12mm,96.52mm,0,,LED_0805
LED250,73.98mm,65.41mm,0,,LED_0805
LED251,76.84mm,65.41mm,0,,LED_0805
LED252,79.69mm,65.41mm,0,,LED_0805
LED253,82.55mm,65.41mm,0,,LED_0805
LED254,85.41mm,65.41mm,0,,LED_0805
LED255,88.27mm,65.41mm,0,,LED_0805
LED256,91.12mm,65.41mm,0,,LED_0805
LED257,2.54mm,60.96mm,0,,LED_0805
LED258,5.4mm,60.96mm,0,,LED_0805
LED259,8.26mm,60.96mm,0,,LED_0805
LED26,73.98mm,96.52mm,0,,LED_0805
LED260,11.11mm,60.96mm,0,,LED_0805
LED261,13.97mm,60.96mm,0,,LED_0805
LED262,16.83mm,60.96mm,0,,LED_0805
LED263,19.69mm,60.96mm,0,,LED_0805
LED264,22.54mm,60.96mm,0,,LED_0805
LED265,25.4mm,60.96mm,0,,LED_0805
LED266,28.26mm,60.96mm,0,,LED_0805
LED267,31.12mm,60.96mm,0,,LED_0805
LED268,33.97mm,60.96mm,0,,LED_0805
LED269,36.83mm,60.96mm,0,,LED_0805
LED27,76.84mm,96.52mm,0,,LED_0805
LED270,39.69mm,60.96mm,0,,LED_0805
LED271,42.55mm,60.96mm,0,,LED_0805
LED272,45.4mm,60.96mm,0,,LED_0805
LED273,48.26mm,60.96mm,0,,LED_0805
LED274,51.12mm,60.96mm,0,,LED_0805
LED275,53.98mm,60.96mm,0,,LED_0805
LED276,56.83mm,60.96mm,0,,LED_0805
LED277,59.69mm,60.96mm,0,,LED_0805
LED278,62.55mm,60.96mm,0,,LED_0805
LED279,65.41mm,60.96mm,0,,LED_0805
LED28,79.69mm,96.52mm,0,,LED_0805
LED280,68.26mm,60.96mm,0,,LED_0805
LED281,71.12mm,60.96mm,0,,LED_0805
LED282,73.98mm,60.96mm,0,,LED_0805
LED283,76.84mm,60.96mm,0,,LED_0805
LED284,79.69mm,60.96mm,0,,LED_0805
LED285,82.55mm,60.96mm,0,,LED_0805
LED286,85.41mm,60.96mm,0,,LED_0805
LED287,88.27mm,60.96mm,0,,LED_0805
LED288,91.12mm,60.96mm,0,,LED_0805
LED289,2.54mm,56.52mm,0,,LED_0805
LED29,82.55mm,96.52mm,0,,LED_0805
LED290,5.4mm,56.52mm,0,,LED_0805
LED291,8.26mm,56.52mm,0,,LED_0805
LED292,11.11mm,56.52mm,0,,LED_0805
LED293,13.97mm,56.52mm,0,,LED_0805
LED294,16.83mm,56.52mm,0,,LED_0805
LED295,19.69mm,56.52mm,0,,LED_0805
LED296,22.54mm,56.52mm,0,,LED_0805
LED297,25.4mm,56.52mm,0,,LED_0805
LED298,28.26mm,56.52mm,0,,LED_0805
LED299,31.12mm,56.52mm,0,,LED_0805
LED3,8.26mm,96.52mm,0,,LED_0805
LED30,85.41mm,96.52mm,0,,LED_0805
LED300,33.97mm,56.52mm,0,,LED_0805
LED301,36.83mm,56.52mm,0,,LED_0805
LED302,39.69mm,56.52mm,0,,LED_0805
LED303,42.55mm,56.52mm,0,,LED_0805
LED304,45.4mm,56.52mm,0,,LED_0805
LED305,48.26mm,56.52mm,0,,LED_0805
LED306,51.12mm,56.52mm,0,,LED_0805
LED307,53.98mm,56.52mm,0,,LED_0805
LED308,56.83mm,56.52mm,0,,LED_0805
LED309,59.69mm,56.52mm,0,,LED_0805
LED31,88.27mm,96.52mm,0,,LED_0805
LED310,62.55mm,56.52mm,0,,LED_0805
LED311,65.41mm,56.52mm,0,,LED_0805
LED312,68.26mm,56.52mm,0,,LED_0805
LED313,71.12mm,56.52mm,0,,LED_0805
LED314,73.98mm,56.52mm,0,,LED_0805
LED315,76.84mm,56.52mm,0,,LED_0805
LED316,79.69mm,56.52mm,0,,LED_0805
LED317,82.55mm,56.52mm,0,,LED_0805
LED318,85.41mm,56.52mm,0,,LED_0805
LED319,88.27mm,56.52mm,0,,LED_0805
LED32,91.12mm,96.52mm,0,,LED_0805
LED320,91.12mm,56.52mm,0,,LED_0805
LED321,2.54mm,52.07mm,0,,LED_0805
LED322,5.4mm,52.07mm,0,,LED_0805
LED323,8.26mm,52.07mm,0,,LED_0805
LED324,11.11mm,52.07mm,0,,LED_0805
LED325,13.97mm,52.07mm,0,,LED_0805
LED326,16.83mm,52.07mm,0,,LED_0805
LED327,19.69mm,52.07mm,0,,LED_0805
LED328,22.54mm,52.07mm,0,,LED_0805
LED329,25.4mm,52.07mm,0,,LED_0805
LED33,2.54mm,92.08mm,0,,LED_0805
LED330,28.26mm,52.07mm,0,,LED_0805
LED331,31.12mm,52.07mm,0,,LED_0805
LED332,33.97mm,52.07mm,0,,LED_0805
LED333,36.83mm,52.07mm,0,,LED_0805
LED334,39.69mm,52.07mm,0,,LED_0805
LED335,42.55mm,52.07mm,0,,LED_0805
LED336,45.4mm,52.07mm,0,,LED_0805
LED337,48.26mm,52.07mm,0,,LED_0805
LED338,51.12mm,52.07mm,0,,LED_0805
LED339,53.98mm,52.07mm,0,,LED_0805
LED34,5.4mm,92.08mm,0,,LED_0805
LED340,56.83mm,52.07mm,0,,LED_0805
LED341,59.69mm,52.07mm,0,,LED_0805
LED342,62.55mm,52.07mm,0,,LED_0805
LED343,65.41mm,52.07mm,0,,LED_0805
LED344,68.26mm,52.07mm,0,,LED_0805
LED345,71.12mm,52.07mm,0,,LED_0805
LED346,73.98mm,52.07mm,0,,LED_0805
LED347,76.84mm,52.07mm,0,,LED_0805
LED348,79.69mm,52.07mm,0,,LED_0805
LED349,82.55mm,52.07mm,0,,LED_0805
LED35,8.26mm,92.08mm,0,,LED_0805
LED350,85.41mm,52.07mm,0,,LED_0805
LED351,88.27mm,52.07mm,0,,LED_0805
LED352,91.12mm,52.07mm,0,,LED_0805
LED353,2.54mm,47.63mm,0,,LED_0805
LED354,5.4mm,47.63mm,0,,LED_0805
LED355,8.26mm,47.63mm,0,,LED_0805
LED356,11.11mm,47.63mm,0,,LED_0805
LED357,13.97mm,47.63mm,0,,LED_0805
LED358,16.83mm,47.63mm,0,,LED_0805
LED359,19.69mm,47.63mm,0,,LED_0805
LED36,11.11mm,92.08mm,0,,LED_0805
LED360,22.54mm,47.63mm,0,,LED_0805
LED361,25.4mm,47.63mm,0,,LED_0805
LED362,28.26mm,47.63mm,0,,LED_0805
LED363,31.12mm,47.63mm,0,,LED_0805
LED364,33.97mm,47.63mm,0,,LED_0805
LED365,36.83mm,47.63mm,0,,LED_0805
LED366,39.69mm,47.63mm,0,,LED_0805
LED367,42.55mm,47.63mm,0,,LED_0805
LED368,45.4mm,47.63mm,0,,LED_0805
LED369,48.26mm,47.63mm,0,,LED_0805
LED37,13.97mm,92.08mm,0,,LED_0805
LED370,51.12mm,47.63mm,0,,LED_0805
LED371,53.98mm,47.63mm,0,,LED_0805
LED372,56.83mm,47.63mm,0,,LED_0805
LED373,59.69mm,47.63mm,0,,LED_0805
LED374,62.55mm,47.63mm,0,,LED_0805
LED375,65.41mm,47.63mm,0,,LED_0805
LED376,68.26mm,47.63mm,0,,LED_0805
LED377,71.12mm,47.63mm,0,,LED_0805
LED378,73.98mm,47.63mm,0,,LED_0805
LED379,76.84mm,47.63mm,0,,LED_0805
LED38,16.83mm,92.08mm,0,,LED_0805
LED380,79.69mm,47.63mm,0,,LED_0805
LED381,82.55mm,47.63mm,0,,LED_0805
LED382,85.41mm,47.63mm,0,,LED_0805
LED383,88.27mm,47.63mm,0,,LED_0805
LED384,91.12mm,47.63mm,0,,LED_0805
LED39,19.69mm,92.08mm,0,,LED_0805
LED4,11.11mm,96.52mm,0,,LED_0805
LED40,22.54mm,92.08mm,0,,LED_0805
LED41,25.4mm,92.08mm,0,,LED_0805
LED42,28.26mm,92.08mm,0,,LED_0805
LED43,31.12mm,92.08mm,0,,LED_0805
LED44,33.97mm,92.08mm,0,,LED_0805
LED45,36.83mm,92.08mm,0,,LED_0805
LED46,39.69mm,92.08mm,0,,LED_0805
LED47,42.55mm,92.08mm,0,,LED_0805
LED48,45.4mm,92.08mm,0,,LED_0805
LED49,48.26mm,92.08mm,0,,LED_0805
LED5,13.97mm,96.52mm,0,,LED_0805
LED50,51.12mm,92.08mm,0,,LED_0805
LED51,53.98mm,92.08mm,0,,LED_0805
LED52,56.83mm,92.08mm,0,,LED_0805
LED53,59.69mm,92.08mm,0,,LED_0805
LED54,62.55mm,92.08mm,0,,LED_0805
LED55,65.41mm,92.08mm,0,,LED_0805
LED56,68.26mm,92.08mm,0,,LED_0805
LED57,71.12mm,92.08mm,0,,LED_0805
LED58,73.98mm,92.08mm,0,,LED_0805
LED59,76.84mm,92.08mm,0,,LED_0805
LED6,16.83mm,96.52mm,0,,LED_0805
LED60,79.69mm,92.08mm,0,,LED_0805
LED61,82.55mm,92.08mm,0,,LED_0805
LED62,85.41mm,92.08mm,0,,LED_0805
LED63,88.27mm,92.08mm,0,,LED_0805
LED64,91.12mm,92.08mm,0,,LED_0805
LED65,2.54mm,87.63mm,0,,LED_0805
LED66,5.4mm,87.63mm,0,,LED_0805
LED67,8.26mm,87.63mm,0,,LED_0805
LED68,11.11mm,87.63mm,0,,LED_0805
LED69,13.97mm,87.63mm,0,,LED_0805
LED7,19.69mm,96.52mm,0,,LED_0805
LED70,16.83mm,87.63mm,0,,LED_0805
LED71,19.69mm,87.63mm,0,,LED_0805
LED72,22.54mm,87.63mm,0,,LED_0805
LED73,25.4mm,87.63mm,0,,LED_0805
LED74,28.26mm,87.63mm,0,,LED_0805
LED75,31.12mm,87.63mm,0,,LED_0805
LED76,33.97mm,87.63mm,0,,LED_0805
LED77,36.83mm,87.63mm,0,,LED_0805
LED78,39.69mm,87.63mm,0,,LED_0805
LED79,42.55mm,87.63mm,0,,LED_0805
LED8,22.54mm,96.52mm,0,,LED_0805
LED80,45.4mm,87.63mm,0,,LED_0805
LED81,48.26mm,87.63mm,0,,LED_0805
LED82,51.12mm,87.63mm,0,,LED_0805
LED83,53.98mm,87.63mm,0,,LED_0805
LED84,56.83mm,87.63mm,0,,LED_0805
LED85,59.69mm,87.63mm,0,,LED_0805
LED86,62.55mm,87.63mm,0,,LED_0805
LED87,65.41mm,87.63mm,0,,LED_0805
LED88,68.26mm,87.63mm,0,,LED_0805
LED89,71.12mm,87.63mm,0,,LED_0805
LED9,25.4mm,96.52mm,0,,LED_0805
LED90,73.98mm,87.63mm,0,,LED_0805
LED91,76.84mm,87.63mm,0,,LED_0805
LED92,79.69mm,87.63mm,0,,LED_0805
LED93,82.55mm,87.63mm,0,,LED_0805
LED94,85.41mm,87.63mm,0,,LED_0805
LED95,88.27mm,87.63mm,0,,LED_0805
LED96,91.12mm,87.63mm,0,,LED_0805
LED97,2.54mm,83.19mm,0,,LED_0805
LED98,5.4mm,83.19mm,0,,LED_0805
LED99,8.26mm,83.19mm,0,,LED_0805